RUN	rendimiento.MisTransportesAcabados	mistransportesacabados	1589730905427	 	3.3.1
USER	Transportar	1	START	1589730906877	1589730906877
REQUEST	1		Home	1589730906902	1589730906968	OK	 
REQUEST	1		request_1	1589730907054	1589730907071	OK	 
REQUEST	1		Login	1589730910088	1589730910103	OK	 
REQUEST	1		request_4	1589730910118	1589730910140	OK	 
REQUEST	1		Authenticated	1589730923192	1589730923642	OK	 
REQUEST	1		Authenticated Redirect 1	1589730923647	1589730923662	OK	 
REQUEST	1		request_6	1589730923666	1589730923679	OK	 
REQUEST	1		MisTransportesAcabados	1589730943686	1589730943731	OK	 
REQUEST	1		request_8	1589730943736	1589730943790	OK	 
USER	Transportar	1	END	1589730906877	1589730950792
